time	group	distance	strain
89	70	Control	451.110262170316	AJ
90	70	Control	672.321142767664	AJ
91	75	Control	649.025578394318	AJ
92	75	Control	582.25954392621	AJ
93	75	Control	535.809760266716	AJ
94	75	Control	405.814088594094	AJ
95	75	Control	704.097867279501	AJ
96	75	Control	409.961061927931	AJ
97	80	Control	828.099948952487	AJ
98	80	Control	729.891593927778	AJ
99	80	Control	464.644946134928	AJ
100	80	Control	346.036864953983	AJ
101	80	Control	393.439015445105	AJ
102	80	Control	538.532556373479	AJ
103	85	Control	462.996218230644	AJ
104	85	Control	447.86861009034	AJ
105	85	Control	357.257214910248	AJ
106	85	Control	493.245841278662	AJ
107	85	Control	382.264329581439	AJ
108	85	Control	249.808709511779	AJ
109	90	Control	442.966021956836	AJ
110	90	Control	637.849491359115	AJ
111	90	Control	413.697955608741	AJ
112	90	Control	591.194648333755	AJ
113	90	Control	257.317593756625	AJ
114	90	Control	491.665705171319	AJ
115	95	Control	577.911080591519	AJ
116	95	Control	545.173004325007	AJ
117	95	Control	515.851429122342	AJ
118	95	Control	403.894098754194	AJ
119	95	Control	372.544348094963	AJ
120	95	Control	346.380681409263	AJ
121	100	Control	517.646989565019	AJ
122	100	Control	357.87880787228	AJ
123	100	Control	426.4163834449	AJ
124	100	Control	461.586171170263	AJ
125	100	Control	776.579300784831	AJ
126	100	Control	402.207514745681	AJ
127	105	Control	535.307985842728	AJ
128	105	Control	511.694127434557	AJ
129	105	Control	355.721504880481	AJ
130	105	Control	489.30378708146	AJ
131	105	Control	716.682628763502	AJ
132	105	Control	567.725607961882	AJ
133	0	Amphetamine	504.184938298941	AJ
134	0	Amphetamine	434.625475149056	AJ
135	0	Amphetamine	190.012916768923	AJ
136	0	Amphetamine	667.700582012126	AJ
137	0	Amphetamine	278.903989361277	AJ
138	0	Amphetamine	608.9921266316	AJ
139	5	Amphetamine	784.365535382623	AJ
140	5	Amphetamine	281.41602585423	AJ
141	5	Amphetamine	603.267650306207	AJ
142	5	Amphetamine	458.67037658963	AJ
143	5	Amphetamine	262.178376128177	AJ
144	5	Amphetamine	270.799851932737	AJ
145	10	Amphetamine	257.769573963811	AJ
146	10	Amphetamine	418.364021674455	AJ
147	10	Amphetamine	278.736662250615	AJ
148	10	Amphetamine	601.187515946374	AJ
149	10	Amphetamine	813.016341078851	AJ
150	10	Amphetamine	304.945428594723	AJ
151	15	Amphetamine	616.160827121277	AJ
152	15	Amphetamine	613.356336150136	AJ
153	15	Amphetamine	547.830386842518	AJ
154	15	Amphetamine	346.743508758449	AJ
155	15	Amphetamine	480.082109005401	AJ
156	15	Amphetamine	455.940699724463	AJ
157	20	Amphetamine	582.448429983072	AJ
158	20	Amphetamine	442.134186584426	AJ
159	20	Amphetamine	644.546008002843	AJ
160	20	Amphetamine	441.812871334948	AJ
161	20	Amphetamine	655.9067198369	AJ
162	20	Amphetamine	340.62344900009	AJ
163	25	Amphetamine	308.976713286283	AJ
164	25	Amphetamine	984.155990241361	AJ
165	25	Amphetamine	435.471361775935	AJ
166	25	Amphetamine	542.734138731107	AJ
167	25	Amphetamine	593.485451105077	AJ
168	25	Amphetamine	425.432906143688	AJ
169	30	Amphetamine	575.529306647041	AJ
170	30	Amphetamine	553.344679107763	AJ
171	30	Amphetamine	465.692923853746	AJ
172	30	Amphetamine	507.793955028797	AJ
173	30	Amphetamine	492.88991193923	AJ
174	30	Amphetamine	817.267784852427	AJ
175	35	Amphetamine	386.799585559076	AJ
176	35	Amphetamine	333.6005599388	AJ
177	35	Amphetamine	503.668259875662	AJ
178	35	Amphetamine	544.572112416471	AJ
179	35	Amphetamine	563.478521836527	AJ
180	35	Amphetamine	429.245200093334	AJ
181	40	Amphetamine	338.501079904321	AJ
182	40	Amphetamine	687.477776413423	AJ
183	40	Amphetamine	445.552441806967	AJ
184	40	Amphetamine	368.173070601994	AJ
185	40	Amphetamine	462.558064658836	AJ
186	40	Amphetamine	468.423615847717	AJ
187	45	Amphetamine	664.488043457046	AJ
188	45	Amphetamine	510.710593829579	AJ
189	45	Amphetamine	611.108067777678	AJ
190	45	Amphetamine	423.106197424161	AJ
191	45	Amphetamine	530.16679643724	AJ
192	45	Amphetamine	449.297113276375	AJ
193	50	Amphetamine	512.187529226036	AJ
194	50	Amphetamine	363.695496303369	AJ
195	50	Amphetamine	301.379770000804	AJ
196	50	Amphetamine	797.582007712195	AJ
197	50	Amphetamine	588.106323550863	AJ
198	50	Amphetamine	310.309295756258	AJ
199	55	Amphetamine	406.325112497937	AJ
200	55	Amphetamine	320.177987310403	AJ
201	55	Amphetamine	827.821552332558	AJ
202	55	Amphetamine	694.861946465027	AJ
203	55	Amphetamine	458.228241495547	AJ
204	55	Amphetamine	579.479108884813	AJ
205	60	Amphetamine	435.849007812171	AJ
206	60	Amphetamine	426.562965807663	AJ
207	60	Amphetamine	379.709574322464	AJ
208	60	Amphetamine	408.807409881073	AJ
209	60	Amphetamine	745.636120100503	AJ
210	60	Amphetamine	489.895781237184	AJ
211	65	Amphetamine	515.886785464138	AJ
212	65	Amphetamine	534.553114439864	AJ
213	65	Amphetamine	682.871381772801	AJ
214	65	Amphetamine	420.590425358283	AJ
215	65	Amphetamine	349.123927441194	AJ
216	65	Amphetamine	749.354539860478	AJ
217	70	Amphetamine	431.825517464207	AJ
218	70	Amphetamine	389.540104509019	AJ
219	70	Amphetamine	312.559032167506	AJ
220	70	Amphetamine	305.29264165233	AJ
221	70	Amphetamine	411.903978105302	AJ
222	70	Amphetamine	590.697872574979	AJ
223	75	Amphetamine	664.477220839458	AJ
224	75	Amphetamine	604.138253075338	AJ
225	75	Amphetamine	443.451405435712	AJ
226	75	Amphetamine	506.96249060769	AJ
227	75	Amphetamine	392.31053044799	AJ
228	75	Amphetamine	390.417275763898	AJ
229	80	Amphetamine	630.697574846538	AJ
230	80	Amphetamine	345.661113209468	AJ
231	80	Amphetamine	791.29409482387	AJ
232	80	Amphetamine	484.452060905122	AJ
233	80	Amphetamine	530.180823994382	AJ
234	80	Amphetamine	387.220844289064	AJ
235	85	Amphetamine	411.84169653551	AJ
236	85	Amphetamine	300.447580154214	AJ
237	85	Amphetamine	470.561191744091	AJ
238	85	Amphetamine	560.84736073867	AJ
239	85	Amphetamine	546.645651624207	AJ
240	85	Amphetamine	380.769526941787	AJ
241	90	Amphetamine	379.7067043719	AJ
242	90	Amphetamine	422.670192248571	AJ
243	90	Amphetamine	722.409100476953	AJ
244	90	Amphetamine	327.404456900138	AJ
245	90	Amphetamine	471.14226084297	AJ
246	90	Amphetamine	783.354273251839	AJ
247	95	Amphetamine	482.853767200679	AJ
248	95	Amphetamine	294.023894426791	AJ
249	95	Amphetamine	398.284584708891	AJ
250	95	Amphetamine	570.818996835732	AJ
251	95	Amphetamine	441.659569249534	AJ
252	95	Amphetamine	413.718545467533	AJ
253	100	Amphetamine	446.412414880731	AJ
254	100	Amphetamine	511.574497070883	AJ
255	100	Amphetamine	737.776315671874	AJ
256	100	Amphetamine	484.715233179167	AJ
257	100	Amphetamine	660.119924422728	AJ
258	100	Amphetamine	592.613117347585	AJ
259	105	Amphetamine	480.954015674079	AJ
260	105	Amphetamine	268.06469956641	AJ
261	105	Amphetamine	419.832402367122	AJ
262	105	Amphetamine	424.519432029229	AJ
263	105	Amphetamine	505.073164914229	AJ
264	105	Amphetamine	693.029801650023	AJ
265	0	Control	1715.92865301717	B6
266	0	Control	1762.02071423526	B6
267	0	Control	2080.56749654684	B6
268	0	Control	1813.74913632779	B6
269	0	Control	1827.1504243838	B6
270	0	Control	2185.88962204874	B6
271	5	Control	1549.13743089838	B6
272	5	Control	1271.26489628992	B6
273	5	Control	1356.36648665917	B6
274	5	Control	1393.09591583051	B6
275	5	Control	1737.05717746229	B6
276	5	Control	1560.95811108791	B6
277	10	Control	1520.11571758911	B6
278	10	Control	1478.26264813094	B6
279	10	Control	1359.94859574427	B6
280	10	Control	1808.4480616766	B6
281	10	Control	1564.54860042814	B6
282	10	Control	1017.51113975833	B6
283	15	Control	1545.20338523455	B6
284	15	Control	1361.98941772489	B6
285	15	Control	1247.79173292237	B6
286	15	Control	1397.49489164163	B6
287	15	Control	1224.53906585548	B6
288	15	Control	1275.99947340949	B6
289	20	Control	1326.24410982261	B6
290	20	Control	1141.6956037275	B6
291	20	Control	1570.80166800901	B6
292	20	Control	1449.90775797812	B6
293	20	Control	1180.99124322749	B6
294	20	Control	1702.10835724073	B6
295	25	Control	1463.96963322152	B6
296	25	Control	1351.31320530628	B6
297	25	Control	1561.1226189881	B6
298	25	Control	1571.23603006894	B6
299	25	Control	1572.53202714387	B6
300	25	Control	1554.94405717252	B6
301	30	Control	1463.08764803064	B6
302	30	Control	1369.78456775484	B6
303	30	Control	1324.92672052681	B6
304	30	Control	1305.80815480259	B6
305	30	Control	1234.11153442669	B6
306	30	Control	1333.21861244559	B6
307	35	Control	1170.19054726476	B6
308	35	Control	1717.87773428085	B6
309	35	Control	1577.4331596949	B6
310	35	Control	1140.99382627535	B6
311	35	Control	1275.39418458719	B6
312	35	Control	1255.00254543478	B6
313	40	Control	1456.99476775045	B6
314	40	Control	1326.24410403215	B6
315	40	Control	1385.59733251906	B6
316	40	Control	1334.433382707	B6
317	40	Control	1330.99720396882	B6
318	40	Control	1647.93551390325	B6
319	45	Control	1286.13435215111	B6
320	45	Control	1570.21764973087	B6
321	45	Control	1041.22449523856	B6
322	45	Control	1433.99968117903	B6
323	45	Control	1346.00939120737	B6
324	45	Control	1368.58685296739	B6
325	50	Control	1356.94592241398	B6
326	50	Control	1217.11663023697	B6
327	50	Control	1240.0226709395	B6
328	50	Control	1101.37780029412	B6
329	50	Control	1074.92384244013	B6
330	50	Control	1368.29394431596	B6
331	55	Control	1347.23146679441	B6
332	55	Control	1288.74569741053	B6
333	55	Control	1446.00814421835	B6
334	55	Control	1679.76651369729	B6
335	55	Control	1176.88345512813	B6
336	55	Control	760.437002980817	B6
337	60	Control	1410.86077866934	B6
338	60	Control	1142.98187417391	B6
339	60	Control	1136.15844903588	B6
340	60	Control	1459.98641709086	B6
341	60	Control	1200.19766851929	B6
342	60	Control	985.33851474273	B6
343	65	Control	1267.19552196237	B6
344	65	Control	1217.08292519756	B6
345	65	Control	1241.03755346198	B6
346	65	Control	1315.12967821963	B6
347	65	Control	1162.16139332359	B6
348	65	Control	1384.98472341674	B6
349	70	Control	1186.92701572719	B6
350	70	Control	1274.74402404609	B6
351	70	Control	1417.43102236688	B6
352	70	Control	1304.86039071259	B6
353	70	Control	1151.55436703844	B6
354	70	Control	1478.4817141515	B6
355	75	Control	1349.02557839432	B6
356	75	Control	1290.48549831883	B6
357	75	Control	1242.97171232006	B6
358	75	Control	1077.55831517232	B6
359	75	Control	1485.7370141913	B6
360	75	Control	1064.9415928919	B6
361	80	Control	1478.09994895249	B6
362	80	Control	1402.88075332056	B6
363	80	Control	1107.57393536191	B6
364	80	Control	949.847924440178	B6
365	80	Control	1000.81462162315	B6
366	80	Control	1207.79883456022	B6
367	85	Control	1062.99621823064	B6
368	85	Control	1042.65547109937	B6
369	85	Control	928.708657892297	B6
370	85	Control	1091.21959366226	B6
371	85	Control	935.170061414014	B6
372	85	Control	724.713064267669	B6
373	90	Control	992.966021956836	B6
374	90	Control	1201.63444049503	B6
375	90	Control	946.437546730489	B6
376	90	Control	1168.55304283388	B6
377	90	Control	710.244631259276	B6
378	90	Control	1037.49855775698	B6
379	95	Control	1102.91108059152	B6
380	95	Control	1074.69030475751	B6
381	95	Control	1044.02171494681	B6
382	95	Control	900.062328380452	B6
383	95	Control	846.562087332948	B6
384	95	Control	794.571022113895	B6
385	100	Control	1027.64698956502	B6
386	100	Control	853.666688659508	B6
387	100	Control	921.69966013388	B6
388	100	Control	960.062022521342	B6
389	100	Control	1397.21102109876	B6
390	100	Control	863.311272118522	B6
391	105	Control	1035.30798584273	B6
392	105	Control	1012.86354017801	B6
393	105	Control	826.865805856577	B6
394	105	Control	986.094923205898	B6
395	105	Control	1303.3556802689	B6
396	105	Control	1101.58841194282	B6
397	0	Amphetamine	2412.36987659788	B6
398	0	Amphetamine	2260.57604532792	B6
399	0	Amphetamine	1660.83100024541	B6
400	0	Amphetamine	2841.22151323153	B6
401	0	Amphetamine	1786.53117021157	B6
402	0	Amphetamine	2732.9763798948	B6
403	5	Amphetamine	2672.73107076525	B6
404	5	Amphetamine	1623.51525687931	B6
405	5	Amphetamine	2352.6423607349	B6
406	5	Amphetamine	1997.74297913304	B6
407	5	Amphetamine	1439.6994531589	B6
408	5	Amphetamine	1418.39955579821	B6
409	10	Amphetamine	1969.53914792762	B6
410	10	Amphetamine	2274.8008476838	B6
411	10	Amphetamine	1923.76798940148	B6
412	10	Amphetamine	2718.28754146057	B6
413	10	Amphetamine	3332.04575502078	B6
414	10	Amphetamine	1870.83628578417	B6
415	15	Amphetamine	2736.32165424255	B6
416	15	Amphetamine	2753.7839395303	B6
417	15	Amphetamine	2619.59292842204	B6
418	15	Amphetamine	2106.73312277197	B6
419	15	Amphetamine	2449.82990521512	B6
420	15	Amphetamine	2373.82209917339	B6
421	20	Amphetamine	2868.89685996614	B6
422	20	Amphetamine	2577.09521048574	B6
423	20	Amphetamine	3051.71041920682	B6
424	20	Amphetamine	2553.91346547086	B6
425	20	Amphetamine	3142.13881554332	B6
426	20	Amphetamine	2227.87034700027	B6
427	25	Amphetamine	2441.95342657257	B6
428	25	Amphetamine	3889.54317853099	B6
429	25	Amphetamine	2669.93126826224	B6
430	25	Amphetamine	2936.30876070088	B6
431	25	Amphetamine	3087.35926309422	B6
432	25	Amphetamine	2602.29871843107	B6
433	30	Amphetamine	3055.05861329408	B6
434	30	Amphetamine	3021.75829403708	B6
435	30	Amphetamine	2822.46301724899	B6
436	30	Amphetamine	2925.46428307487	B6
437	30	Amphetamine	2885.69175342984	B6
438	30	Amphetamine	3857.80335455728	B6
439	35	Amphetamine	2742.59917111815	B6
440	35	Amphetamine	2603.32123186536	B6
441	35	Amphetamine	2978.60382370159	B6
442	35	Amphetamine	3086.08749228282	B6
443	35	Amphetamine	3148.33986114228	B6
444	35	Amphetamine	2758.73560028	B6
445	40	Amphetamine	2481.00215980864	B6
446	40	Amphetamine	3216.85110810953	B6
447	40	Amphetamine	2674.12586033672	B6
448	40	Amphetamine	2462.44998356518	B6
449	40	Amphetamine	2700.76258104474	B6
450	40	Amphetamine	2711.27084754315	B6
451	45	Amphetamine	3032.97608691409	B6
452	45	Amphetamine	2727.96330642507	B6
453	45	Amphetamine	2971.45936266643	B6
454	45	Amphetamine	2505.27611330282	B6
455	45	Amphetamine	2790.06703002427	B6
456	45	Amphetamine	2553.89133982912	B6
457	50	Amphetamine	2628.37505845207	B6
458	50	Amphetamine	2304.53009186741	B6
459	50	Amphetamine	2128.11144800193	B6
460	50	Amphetamine	3378.91322005171	B6
461	50	Amphetamine	2852.29770594242	B6
462	50	Amphetamine	2036.92788726878	B6
463	55	Amphetamine	2316.65022499587	B6
464	55	Amphetamine	2108.79157208289	B6
465	55	Amphetamine	3291.57172559814	B6
466	55	Amphetamine	3011.84106080907	B6
467	55	Amphetamine	2388.63907618753	B6
468	55	Amphetamine	2744.43732665444	B6
469	60	Amphetamine	2275.69801562434	B6
470	60	Amphetamine	2242.83852477686	B6
471	60	Amphetamine	2116.10297837391	B6
472	60	Amphetamine	2168.09926569079	B6
473	60	Amphetamine	3093.38113628141	B6
474	60	Amphetamine	2375.68734371155	B6
475	65	Amphetamine	2335.77357092828	B6
476	65	Amphetamine	2380.4168517677	B6
477	65	Amphetamine	2743.69131625472	B6
478	65	Amphetamine	2098.73510593154	B6
479	65	Amphetamine	1883.14699683534	B6
480	65	Amphetamine	3054.06361958144	B6
481	70	Amphetamine	2067.65103492841	B6
482	70	Amphetamine	1961.38822991984	B6
483	70	Amphetamine	1754.94167720201	B6
484	70	Amphetamine	1698.96086829606	B6
485	70	Amphetamine	1958.93113869485	B6
486	70	Amphetamine	2478.09361772494	B6
487	75	Amphetamine	2432.95444167892	B6
488	75	Amphetamine	2333.50415676574	B6
489	75	Amphetamine	1969.08337304571	B6
490	75	Amphetamine	2123.30247557999	B6
491	75	Amphetamine	1804.06948525437	B6
492	75	Amphetamine	1777.2518272917	B6
493	80	Amphetamine	2265.39514969308	B6
494	80	Amphetamine	1664.85444906083	B6
495	80	Amphetamine	2703.90582757729	B6
496	80	Amphetamine	1964.77535835332	B6
497	80	Amphetamine	2090.10630718427	B6
498	80	Amphetamine	1667.66253286719	B6
499	85	Amphetamine	1727.68339307102	B6
500	85	Amphetamine	1465.38467633927	B6
501	85	Amphetamine	1834.14686018582	B6
502	85	Amphetamine	2063.40313792054	B6
503	85	Amphetamine	2036.20782454778	B6
504	85	Amphetamine	1548.30858082536	B6
505	90	Amphetamine	1613.4134087438	B6
506	90	Amphetamine	1684.27442294686	B6
507	90	Amphetamine	2388.58184114469	B6
508	90	Amphetamine	1406.45158794036	B6
509	90	Amphetamine	1774.79833036032	B6
510	90	Amphetamine	2706.06281975552	B6
511	95	Amphetamine	1729.70753440136	B6
512	95	Amphetamine	1311.25256773894	B6
513	95	Amphetamine	1520.68300330134	B6
514	95	Amphetamine	1949.3293917729	B6
515	95	Amphetamine	1602.2467938987	B6
516	95	Amphetamine	1507.1556364026	B6
517	100	Amphetamine	1496.82482976146	B6
518	100	Amphetamine	1629.86389355594	B6
519	100	Amphetamine	2175.4631576125	B6
520	100	Amphetamine	1565.45960626584	B6
521	100	Amphetamine	2053.93578838364	B6
522	100	Amphetamine	1883.83935204275	B6
523	105	Amphetamine	1465.90803134816	B6
524	105	Amphetamine	994.142339046103	B6
525	105	Amphetamine	1312.39776568109	B6
526	105	Amphetamine	1308.950523276	B6
527	105	Amphetamine	1519.80486175984	B6
528	105	Amphetamine	2085.08940495007	B6
